ticker,date,time,text
TSLA,2021-11-01,06:59:00," ""Why Is Honda Chasing Tesla's CEO Into Space?"""
TSLA,2021-11-01,07:12:00," ""Musk vows to sell $6bn Tesla stake if UN shows how cash can'solve world hunger'"""
TSLA,2021-11-01,07:18:00,'Chinas Ganfeng Wins Deal to Supply Tesla With Lithium Products'
TSLA,2021-11-01,07:38:00,'S&P 500 Nasdaq open at record high in a big week for Federal Reserve'
TSLA,2021-11-01,08:13:00,'The Zacks Analyst Blog Highlights: Tesla Toyota Motor General Motors Nikola Corp and Standard Motor Products'
TSLA,2021-11-01,08:19:00,'Dow Jones Futures Rise As Fed Taper Looms For Market Rally; Tesla Jumps As Rival Hits Buy Zone'
TSLA,2021-11-01,08:34:00,'The All-Electric Porsche Taycan Is an Amazing Car. But Tesla Has Little to Worry About.'
TSLA,2021-11-01,08:51:00,'US STOCKS-Wall St eyes record open in a big week for Federal Reserve'
TSLA,2021-11-01,09:59:00,'This new fund gives an ESG flavor to the tech-heavy Nasdaq-100  and beats the index'
TSLA,2021-11-01,10:37:00," ""EV Roundup: TSLA's $1T Market Cap & XPEV's Tech Day Grab Eyeballs"""
TSLA,2021-11-01,10:55:00," ""US STOCKS-Wall Street mixed ahead of Federal Reserve's policy meet"""
TSLA,2021-11-01,11:30:00,'Has Tesla (TSLA) Outpaced Other Auto-Tires-Trucks Stocks This Year?'
TSLA,2021-11-01,11:39:00,'EV Truck Maker Rivian Should Go PublicNow. Opportunity Is Knocking.'
TSLA,2021-11-01,11:41:00,'Tesla opens charging network for other EVs in Netherlands'
TSLA,2021-11-01,11:45:00,'Tesla opens charging network to other EVs for the first time'
TSLA,2021-11-01,11:53:00,'Dow Jones Rallies As Tesla Surges To Record High; 3 Top Stocks To Buy And Watch'
TSLA,2021-11-01,11:56:00,'Why Tesla Stock Is Up Again Today'
TSLA,2021-11-01,12:25:00,'Is Li Auto Stock A Buy Or Sell After Reclaiming Key Levels?'
TSLA,2021-11-01,12:30:00," ""REFILE-US STOCKS-Tesla lifts Nasdaq to record territory; focus turns to Fed's policy meet"""
TSLA,2021-11-01,12:36:00,'Tesla Expands Battery Production Plans Signs Supply Agreement With Ganfeng Lithium'
TSLA,2021-11-01,13:37:00,'UPDATE 1-Tesla opens charging network to other EVs for the first time'
TSLA,2021-11-01,14:00:00,'The 3 Most Promising Energy IPOs This Year'
