Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-27,423.760009765625,430.5,420.1000061035156,424.67999267578125,22686500,0,0
2020-10-28,416.4800109863281,418.6000061035156,406.0,406.0199890136719,25451400,0,0
2020-10-29,409.9599914550781,418.05999755859375,406.4599914550781,410.8299865722656,22655300,0,0
2020-10-30,406.8999938964844,407.5899963378906,379.1099853515625,388.0400085449219,42511300,0,0
2020-11-02,394.0,406.9800109863281,392.29998779296875,400.510009765625,29021100,0,0
2020-11-03,409.7300109863281,427.7699890136719,406.69000244140625,423.8999938964844,34351700,0,0
2020-11-04,430.6199951171875,435.3999938964844,417.1000061035156,420.9800109863281,32143100,0,0
2020-11-05,428.29998779296875,440.0,424.0,438.0899963378906,28414500,0,0
2020-11-06,436.1000061035156,436.57000732421875,424.2799987792969,429.95001220703125,21706000,0,0
2020-11-09,439.5,452.5,421.0,421.260009765625,34833000,0,0
2020-11-10,420.0899963378906,420.0899963378906,396.0299987792969,410.3599853515625,30284200,0,0
2020-11-11,416.45001220703125,418.70001220703125,410.5799865722656,417.1300048828125,17357700,0,0
2020-11-12,415.04998779296875,423.0,409.5199890136719,411.760009765625,19855100,0,0
2020-11-13,410.8500061035156,412.5299987792969,401.6600036621094,408.5,19771100,0,0
2020-11-16,408.92999267578125,412.45001220703125,404.0899963378906,408.0899963378906,26838600,0,0
2020-11-17,460.1700134277344,462.0,433.010009765625,441.6099853515625,61188300,0,0
2020-11-18,448.3500061035156,496.0,443.5,486.6400146484375,78044000,0,0
2020-11-19,492.0,508.6099853515625,487.57000732421875,499.2699890136719,62475300,0,0
2020-11-20,497.989990234375,502.5,489.05999755859375,489.6099853515625,32911900,0,0
2020-11-23,503.5,526.0,501.7900085449219,521.8499755859375,50260300,0,0
2020-11-24,540.4000244140625,559.989990234375,526.2000122070312,555.3800048828125,53648500,0,0
2020-11-25,550.0599975585938,574.0,545.3699951171875,574.0,48930200,0,0
2020-11-27,581.1599731445312,598.780029296875,578.4500122070312,585.760009765625,37561100,0,0
2020-11-30,602.2100219726562,607.7999877929688,554.510009765625,567.5999755859375,63003100,0,0
2020-12-01,597.5900268554688,597.8499755859375,572.0499877929688,584.760009765625,40103500,0,0
2020-12-02,556.4400024414062,571.5399780273438,541.2100219726562,568.8200073242188,47775700,0,0
2020-12-03,590.02001953125,598.969970703125,582.4299926757812,593.3800048828125,42552000,0,0
2020-12-04,591.010009765625,599.0399780273438,585.5,599.0399780273438,29401300,0,0
2020-12-07,604.9199829101562,648.7899780273438,603.0499877929688,641.760009765625,56309700,0,0
2020-12-08,625.510009765625,651.280029296875,618.5,649.8800048828125,64265000,0,0
2020-12-09,653.6900024414062,654.3200073242188,588.0,604.47998046875,71291200,0,0
2020-12-10,574.3699951171875,627.75,566.3400268554688,627.0700073242188,67083200,0,0
2020-12-11,615.010009765625,624.0,596.7999877929688,609.989990234375,46475000,0,0
2020-12-14,619.0,642.75,610.2000122070312,639.8300170898438,52040600,0,0
2020-12-15,643.280029296875,646.9000244140625,623.7999877929688,633.25,45071500,0,0
2020-12-16,628.22998046875,632.5,605.0,622.77001953125,42095800,0,0
2020-12-17,628.1900024414062,658.8200073242188,619.5,655.9000244140625,56270100,0,0
2020-12-18,668.9000244140625,695.0,628.5399780273438,695.0,222126200,0,0
2020-12-21,666.239990234375,668.5,646.0700073242188,649.8599853515625,58045300,0,0
2020-12-22,648.0,649.8800048828125,614.22998046875,640.3400268554688,51716000,0,0
2020-12-23,632.2000122070312,651.5,622.5700073242188,645.97998046875,33173000,0,0
2020-12-24,642.989990234375,666.0900268554688,641.0,661.77001953125,22865600,0,0
2020-12-28,674.510009765625,681.4000244140625,660.7999877929688,663.6900024414062,32278600,0,0
2020-12-29,661.0,669.9000244140625,655.0,665.989990234375,22910800,0,0
2020-12-30,672.0,696.5999755859375,668.3599853515625,694.780029296875,42846000,0,0
2020-12-31,699.989990234375,718.719970703125,691.1199951171875,705.6699829101562,49649900,0,0
2021-01-04,719.4600219726562,744.489990234375,717.1900024414062,729.77001953125,48638200,0,0
2021-01-05,723.6599731445312,740.8400268554688,719.2000122070312,735.1099853515625,32245200,0,0
2021-01-06,758.489990234375,774.0,749.0999755859375,755.97998046875,44700000,0,0
2021-01-07,777.6300048828125,816.989990234375,775.2000122070312,816.0399780273438,51498900,0,0
2021-01-08,856.0,884.489990234375,838.3900146484375,880.02001953125,75055500,0,0
2021-01-11,849.4000244140625,854.4299926757812,803.6199951171875,811.1900024414062,59301600,0,0
2021-01-12,831.0,868.0,827.3400268554688,849.4400024414062,46270700,0,0
2021-01-13,852.760009765625,860.469970703125,832.0,854.4099731445312,33312500,0,0
2021-01-14,843.3900146484375,863.0,838.75,845.0,31266300,0,0
2021-01-15,852.0,859.9000244140625,819.0999755859375,826.1599731445312,38777600,0,0
2021-01-19,837.7999877929688,850.0,833.0,844.5499877929688,25367000,0,0
2021-01-20,858.739990234375,859.5,837.280029296875,850.4500122070312,25665900,0,0
2021-01-21,855.0,855.719970703125,841.4199829101562,844.989990234375,20521100,0,0
2021-01-22,834.3099975585938,848.0,828.6199951171875,846.6400146484375,20066500,0,0
2021-01-25,855.0,900.4000244140625,838.8200073242188,880.7999877929688,41173400,0,0
2021-01-26,891.3800048828125,895.9000244140625,871.5999755859375,883.0900268554688,23131600,0,0
2021-01-27,870.3499755859375,891.5,858.6599731445312,864.1599731445312,27334000,0,0
2021-01-28,820.0,848.0,801.0,835.4299926757812,26378000,0,0
2021-01-29,830.0,842.4099731445312,780.0999755859375,793.530029296875,34990800,0,0
2021-02-01,814.2899780273438,842.0,795.5599975585938,839.8099975585938,25391400,0,0
2021-02-02,844.6799926757812,880.5,842.2000122070312,872.7899780273438,24346200,0,0
2021-02-03,877.02001953125,878.0800170898438,853.0599975585938,854.6900024414062,18343500,0,0
2021-02-04,855.0,856.5,833.4199829101562,849.989990234375,15812700,0,0
2021-02-05,845.0,864.77001953125,838.969970703125,852.22998046875,18566600,0,0
2021-02-08,869.6699829101562,877.77001953125,854.75,863.4199829101562,20161700,0,0
2021-02-09,855.1199951171875,859.7999877929688,841.75,849.4600219726562,15157700,0,0
2021-02-10,843.6400146484375,844.8200073242188,800.02001953125,804.8200073242188,36216100,0,0
2021-02-11,812.4400024414062,829.8800048828125,801.72998046875,811.6599731445312,21622800,0,0
2021-02-12,801.260009765625,817.3300170898438,785.3300170898438,816.1199951171875,23768300,0,0
2021-02-16,818.0,821.0,792.4400024414062,796.219970703125,19802300,0,0
2021-02-17,779.0900268554688,799.8400268554688,762.010009765625,798.1500244140625,25996500,0,0
2021-02-18,780.9000244140625,794.6900024414062,776.27001953125,787.3800048828125,17957100,0,0
2021-02-19,795.0,796.7899780273438,777.3699951171875,781.2999877929688,18958300,0,0
2021-02-22,762.6400146484375,768.5,710.2000122070312,714.5,37269700,0,0
2021-02-23,662.1300048828125,713.6099853515625,619.0,698.8400268554688,66606900,0,0
2021-02-24,711.8499755859375,745.0,694.1699829101562,742.02001953125,36767000,0,0
2021-02-25,726.1500244140625,737.2100219726562,670.5800170898438,682.219970703125,39023900,0,0
2021-02-26,700.0,706.7000122070312,659.510009765625,675.5,41089200,0,0
2021-03-01,690.1099853515625,719.0,685.0499877929688,718.4299926757812,27136200,0,0
2021-03-02,718.280029296875,721.1099853515625,685.0,686.4400024414062,23732200,0,0
2021-03-03,687.989990234375,700.7000122070312,651.7100219726562,653.2000122070312,30208000,0,0
2021-03-04,655.7999877929688,668.4500122070312,600.0,621.4400024414062,65919500,0,0
2021-03-05,626.0599975585938,627.8400268554688,539.489990234375,597.9500122070312,89396500,0,0
2021-03-08,600.5499877929688,620.1300048828125,558.7899780273438,563.0,51787000,0,0
2021-03-09,608.1799926757812,678.0900268554688,595.2100219726562,673.5800170898438,67523300,0,0
2021-03-10,700.2999877929688,717.8499755859375,655.0599975585938,668.0599975585938,60605700,0,0
2021-03-11,699.4000244140625,702.5,677.1799926757812,699.5999755859375,36253900,0,0
2021-03-12,670.0,694.8800048828125,666.1400146484375,693.72998046875,33583800,0,0
2021-03-15,694.0900268554688,713.1799926757812,684.0399780273438,707.9400024414062,29335600,0,0
2021-03-16,703.3499755859375,707.9199829101562,671.0,676.8800048828125,32195700,0,0
2021-03-17,656.8699951171875,703.72998046875,651.010009765625,701.8099975585938,40372500,0,0
2021-03-18,684.2899780273438,689.22998046875,652.0,653.1599731445312,33224800,0,0
2021-03-19,646.5999755859375,657.22998046875,624.6199951171875,654.8699951171875,42894000,0,0
2021-03-22,684.5900268554688,699.6199951171875,668.75,670.0,39512200,0,0
2021-03-23,675.77001953125,677.7999877929688,657.510009765625,662.1599731445312,30491900,0,0
2021-03-24,667.9099731445312,668.02001953125,630.1099853515625,630.27001953125,33795200,0,0
2021-03-25,613.0,645.5,609.5,640.3900146484375,39224900,0,0
2021-03-26,641.8699951171875,643.8200073242188,599.8900146484375,618.7100219726562,33852800,0,0
2021-03-29,615.6400146484375,616.47998046875,596.02001953125,611.2899780273438,28637000,0,0
2021-03-30,601.75,637.6599731445312,591.010009765625,635.6199951171875,39432400,0,0
